GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
8384.336111147022,8768.909929,53472.5,4814.869517361111,6606.745762509979,697.9679558050565,267.37936911779667,34433.0,7.2,29.0,24.0,0.0,30.0,26.5,4.0,27.1,23.5,0.0,29.0,25.0,0.4,30.3,26.9
37460.19922885465,38588.27625,52103.21,14569.543090196905,27673.72543324988,0.0001827747121738,777.6753234512553,37593.0,73.1,32.0,23.1,1.5,30.3,26.4,41.4,29.2,21.8,3.0,30.0,24.8,0.0,30.2,26.0
35590.51967739958,36662.07342,78374.43000000001,23383.84484341103,11530.295874998135,137.7484081145585,2104.0342181584706,37762.0,33.8,33.1,23.2,-1.0,29.7,25.7,0.0,31.0,23.5,1.2,29.0,23.8,0.0,30.4,25.9
12747.435725672714,13436.72005,64916.53,12027.59580117162,2111.0267196706245,564.0362217804636,418.7860489215968,36373.0,-1.0,33.0,24.0,6.0,30.8,25.6,4.6,30.5,22.4,0.0,29.0,24.0,0.0,30.1,25.1
9149.376632164269,10135.4969,67046.34,8559.035594502498,0.0,0.0,216.0387348921735,34606.0,0.0,35.0,24.9,0.0,30.7,25.7,0.0,30.4,23.6,0.0,29.6,24.0,0.0,31.6,25.2
5821.633121504163,6410.576798,68948.99,3885.015557649911,2.430555555555555e-05,2.4305555555555552e-06,579.8296720718904,37563.0,58.2,31.8,23.1,0.0,30.4,26.2,42.3,29.8,24.3,0.0,29.0,24.0,0.0,31.9,27.2
3450.4848623217695,3502.08663,67658.02,314.6006041666667,3413.5315409141576,5.395730490523968,1.547159799061417e-05,36603.0,4.2,31.1,23.0,58.5,29.9,24.5,46.4,28.5,23.9,0.0,29.0,23.8,0.1,31.1,25.2
5003.868448082485,5188.901706,67491.1,1335.900213420194,4486.678393551439,218.6537464991763,5.62911190194634e-05,37383.0,2.3,33.0,24.0,16.5,28.9,25.2,25.2,29.4,23.5,-1.0,29.4,24.0,0.0,30.8,25.6
4455.971610954383,4649.636486,69929.83,887.1393503472223,7727.582191010726,100.84857266484084,2.272783224818331,38494.0,7.6,34.0,23.4,11.0,29.4,25.2,26.3,29.8,23.0,2.6,29.4,23.2,0.0,31.1,26.4
3582.3493238034725,3665.701033,67743.23,85.760240625,8655.057195802572,345.4436670416667,0.0,37213.0,6.6,29.0,22.8,8.0,28.8,24.8,23.5,28.1,22.0,0.4,26.0,24.0,3.4,28.5,26.1
