GWAP,LWAP
3174.2831296748905,3241.659882
3662.972086874314,3743.612876
4853.983571601612,4983.53808
6188.494459348288,6387.231104
18366.618237655675,18827.52818
15451.446896504887,15842.36152
12140.857470289064,12561.67896
18222.429974420986,18748.61268
17147.311986457968,17594.00119
50156.88318808715,52529.61355
19711.05708,20399.02853
9327.406747203177,9657.85855
11233.903968490253,11593.07257
9889.030926,10156.40699
7110.434991465868,7233.805155
6717.278703501715,6888.50382
8810.692810024188,9087.818771
6302.584169046353,6469.366586
6527.750240620766,6686.757917
9718.200454287558,9989.400032
22415.889388559222,23128.24771
14490.19371409842,14859.41862
19070.853868035218,19548.28376
23983.57778976112,24736.17895
22526.099371240845,23249.28069
8126.413913543541,8391.824718
35557.75313208953,37535.86029
34460.690621961454,35958.58355
10263.26675966898,10498.89063
6517.994645593079,6746.265056
4112.375634630042,4251.657514
3407.2066276532146,3507.868862
5056.636355094538,5234.630349
4033.3634074251895,4180.217551
3412.7244411095553,3552.314159
3743.049805324563,3868.779873
3320.2555149291943,3450.616505
5612.092831710649,5887.706058
5697.331138932254,6002.4069
9887.67439088686,10417.73597
5625.0475244008085,5903.712102
7655.265468716522,7967.169369
4234.573824948987,4358.656501
4050.672307601152,4192.665412
5723.762498642867,5994.592941
4036.6687645887455,4247.857073
4479.946518810641,4694.916453
6933.790592263708,7314.451859
11123.628739345582,11908.69333
6505.263814365015,6802.181019
6695.286338494017,7045.629815
5305.388359128271,5635.980745
5295.891936643139,5567.880052
5876.709705818069,6176.307662
7598.649501125834,8026.927005
5587.134907101185,5865.136073
8135.756399956017,8562.441686
6032.699562647868,6285.173729
4208.6697451310565,4419.988134
4461.020091391342,4662.367982
5926.515614585871,6268.576994
5975.512183200935,6361.468234
7197.9290526476625,7656.42517
4476.698981715006,4638.9524
3866.155248789468,4007.070861
4535.554937915421,4751.376579
4328.535984216545,4531.186928
3935.424367861411,4104.72045
5569.367296622877,5821.084578
7772.523793,8120.945228
5946.721427749107,6188.181922
5158.949089,5369.027013
11693.91866377008,12343.82593
8741.082871782277,9200.879679
20226.291885377992,21411.47153
13276.294871915889,14095.67964
13142.647408912811,13925.60367
5382.693296903249,5653.871663
5284.105185904481,5530.372593
7465.172190942597,7933.372612
10421.08994659393,11094.45447
8701.311766,9240.052321
7505.621019456422,7966.783131
10973.331567501318,11701.5944
20483.416075862653,21317.25845
8285.860504734754,8976.436428
6068.164454939648,6437.583489
6326.957733754566,6706.578722
6072.211580563352,6463.68954
6678.583633617359,7103.856193
5207.173143221733,5499.778832
2977.616137727912,3106.267079
3781.632447291055,3922.447076
3623.1400316438057,3820.811943
3656.976583894617,3816.951233
4184.895732907152,4378.257409
3948.328521873621,4131.337825
4237.587750706807,4420.934695
3927.1273380031366,4057.481628
4467.513094591898,4629.634383
4383.067036915203,4568.688584
4693.375327009459,4903.647525
5547.621330902894,5749.174591
6570.305059378785,6660.676421
4740.018427931686,4871.779182
5618.099007716897,5805.815549
5738.470547294522,5911.197662
11132.890346195263,11588.16267
8698.081746663003,9117.646453
16503.151373309345,17428.64543
20019.928993192894,21125.90302
11910.034139618752,12547.11499
6506.448615615593,6769.239047
6241.635635,6468.950258
6591.414425973197,6919.162017
7332.339947160383,7742.436172
