FLOW_VIS,TMIN_Catbalogan,TMAX_Roxas City,TMIN_Roxas City,TMAX_Catarman,TMIN_Catarman,TMAX_Maasin,TMIN_Maasin,TMAX_Dumaguete,TMIN_Dumaguete,GWAP,LWAP,Hourly Demand,TMAX_Catbalogan,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,RAINFALL_Catbalogan,RAINFALL_Roxas City,RAINFALL_Catarman,RAINFALL_Maasin,RAINFALL_Dumaguete
0.29629924713245753,0.3624999999999998,0.2179487179487185,0.40000000000000036,0.1752577319587627,0.5714285714285716,0.2549019607843137,0.15625,0.19999999999999973,0.2830188679245289,0.0,0.00045676796422577937,0.0,0.06790544830880708,0.0,0.0,0.0,0.0,0.6283900449121753,0.33999492931761893,0.4606558836821041,0.8965599731298726,0.8101516504010766
0.29629924713245753,0.5499999999999998,0.2051282051282053,0.47272727272727355,0.23711340206185572,0.535714285714286,0.0,0.12500000000000044,0.03750000000000009,0.301886792452831,0.005838883469424516,0.0,0.002933747586779209,0.14005734496885291,0.0,0.0,0.0,0.0,0.0,0.5114067086348,0.5197417279868259,0.9385701941635356,0.7266289028726253
0.2965801440362714,0.2999999999999998,0.2820512820512824,0.4909090909090912,0.3505154639175254,0.6964285714285716,0.17647058823529393,0.15625,0.21250000000000036,0.5094339622641506,0.20834229100585344,0.20295052555856863,0.03503598939465563,0.26721470847728634,0.0,0.0,0.0,0.0,0.25528261973564903,0.4200914012042872,0.28395494840550106,0.8653147314098428,0.4485234824274643
0.2969324142897362,0.2999999999999998,0.5256410256410255,0.45454545454545503,0.24742268041237114,0.4285714285714284,0.4019607843137254,0.3125,0.47500000000000053,0.4528301886792452,0.22243499394568444,0.1420949238967646,0.053512555367079474,0.1218523269958119,0.0,0.0,0.0,0.0,0.46862148524655467,0.5114067086348,0.4606558836821041,0.2836478826631779,0.3422748549756612
0.2970053836445224,0.44999999999999973,0.39743589743589736,0.47272727272727355,0.32989690721649456,0.0,0.2549019607843137,0.3125,0.35000000000000053,0.35849056603773555,0.299149502542172,0.23012689271262143,0.06469576438990912,0.1752926655176983,0.0,0.0,0.0,0.0,0.35991049606096315,0.7760360109269729,0.42390341710715784,0.5762109541686777,0.4244144175518352
0.2975253621176051,0.2999999999999998,0.39743589743589736,0.4909090909090912,0.45360824742268013,0.5535714285714284,0.5490196078431371,0.3125,0.4500000000000002,0.3207547169811322,0.328892880134634,0.26888912632132733,0.09466475922737219,0.3034962696598385,0.0,0.0,0.0,0.0,0.0,0.33999492931761893,0.32438300219476357,0.2836478826631779,0.3422748549756612
0.29701566191759377,0.3999999999999999,0.39743589743589736,0.5090909090909097,0.3505154639175254,0.49999999999999956,0.4509803921568625,0.15625,0.47500000000000053,0.4716981132075473,0.36534633300656405,0.30589070575790744,0.10956101900153542,0.10495031180858409,0.0,0.0,0.0,0.0,0.8275771618902418,0.33999492931761893,0.510451051183467,0.2836478826631779,0.0
0.2970876098290934,0.44999999999999973,0.4230769230769229,0.581818181818182,0.47422680412371143,0.3035714285714284,0.7647058823529407,0.375,0.43750000000000044,0.3207547169811322,0.4005151427322138,0.3484502740033486,0.09903837676757982,0.3857424378261078,0.0,0.0,0.0,0.0,0.2710656588625869,0.33999492931761893,0.7396073190530323,0.2836478826631779,0.3422748549756612
0.2970338563761362,0.41249999999999964,0.5,0.5636363636363644,0.3608247422680413,0.32142857142857073,0.5490196078431371,0.453125,0.5125000000000002,0.6415094339622645,0.27575360371536983,0.22476795879861955,0.0890314537057138,0.3111244494986302,0.0,0.0,0.0,0.0,0.3512461055487874,0.33999492931761893,0.2677130142190587,0.2836478826631779,0.0
0.2965801440362714,0.5625,0.5256410256410255,0.6363636363636367,0.4329896907216493,0.660714285714286,0.5980392156862742,0.46875000000000044,0.5875000000000004,0.5660377358490569,0.42334205632830435,0.3790101890489086,0.17059120428270802,0.451776709627165,0.0,0.0,0.0,0.0,0.25528261973564903,0.33999492931761893,0.4113713037714256,0.0,0.3422748549756612
0.28899592763329673,0.34999999999999964,0.5512820512820511,0.6727272727272728,0.46391752577319556,0.6071428571428572,0.5490196078431371,0.5468750000000004,0.6000000000000005,0.6226415094339623,0.6117245029590672,0.587874970933679,0.1980368622291824,0.4321517418181501,0.0,0.0,0.0,0.0,0.3322770466374702,0.33999492931761893,0.3463619521136848,0.2836478826631779,0.3422748549756612
0.28239485039367057,0.23749999999999982,0.5256410256410255,0.5272727272727273,0.47422680412371143,0.7142857142857149,0.5490196078431371,0.46875000000000044,0.47500000000000053,0.6415094339622645,0.5948511377061598,0.5674142546286873,0.19297083975879162,0.4321517418181501,0.0,0.0,0.0,0.0,0.2710656588625869,0.33999492931761893,0.2677130142190587,0.6046046572990229,0.3422748549756612
0.2871700977585065,0.2749999999999999,0.3717948717948718,0.45454545454545503,0.4123711340206184,0.6964285714285716,0.35294117647058787,0.53125,0.37500000000000044,0.5660377358490569,0.5898858971212781,0.5611176061540144,0.17648560440410901,0.26721470847728634,0.0,0.0,0.0,0.0,0.25528261973564903,0.0,0.0,0.2836478826631779,0.0
0.29391162345003957,0.0,0.3333333333333335,0.3636363636363642,0.3608247422680413,0.535714285714286,0.4509803921568625,0.46875000000000044,0.33750000000000036,0.3207547169811322,0.4267079753960086,0.37544326370965164,0.1469567898746146,0.3034962696598385,0.0,0.0,0.0,0.0,0.25528261973564903,0.33999492931761893,0.0,0.2836478826631779,0.3422748549756612
